Cupertino, CA, Mon May  4 20:24:39 PDT 2020, 1, 2705 123
Santa Clara, CA, Mon May  4 20:30:22 PDT 2020, 2, 3007 125 487.55714344990605
Santa Clara, CA, Mon May  4 20:30:24 PDT 2020, 1, 2480 119 478.9169524794139
Cupertino, CA, Mon May  4 20:30:26 PDT 2020, 2, 3378.0 102 605.0970734176382
Cupertino, CA, Mon May  4 20:30:27 PDT 2020, 1, 2705 123 671.015662404629
Santa Clara, CA, Mon May  4 20:39:05 PDT 2020, 2, 3007 121 493.05914491638316
Santa Clara, CA, Mon May  4 20:39:09 PDT 2020, 1, 2490 115 476.92666195634393
Cupertino, CA, Mon May  4 20:39:11 PDT 2020, 2, 3361.0 98 614.1941107162654
Cupertino, CA, Mon May  4 20:39:15 PDT 2020, 1, 2653 109 700.9821587730395
San Francisco, CA, Mon May  4 20:39:18 PDT 2020, 2, 3999.5 116 1349.3123482420372
San Francisco, CA, Mon May  4 20:39:23 PDT 2020, 1, 3100 119 1032.7794282354835
Los Angeles, CA, Mon May  4 20:39:28 PDT 2020, 2, 2548.0 112 995.2198181336869
Los Angeles, CA, Mon May  4 20:39:34 PDT 2020, 1, 1995 113 571.9711065645074
San Diego, CA, Mon May  4 20:39:39 PDT 2020, 2, 2195 119 628.1584051108515
San Diego, CA, Mon May  4 20:39:41 PDT 2020, 1, 1770.0 118 361.65092782541956
Seattle, WA, Mon May  4 20:39:44 PDT 2020, 2, 1820 119 771.9912611779602
Seattle, WA, Mon May  4 20:39:48 PDT 2020, 1, 1600 115 546.0637030702841
Boston, MA, Mon May  4 20:39:52 PDT 2020, 2, 2250 117 709.429574760142
Boston, MA, Mon May  4 20:39:55 PDT 2020, 1, 1875 109 600.9486035353302
New York, NY, Mon May  4 20:39:58 PDT 2020, 2, 2400.0 108 686.1193662188733
New York, NY, Mon May  4 20:40:01 PDT 2020, 1, 1995 103 602.6420928708453
Philadelphia, PA, Mon May  4 20:40:04 PDT 2020, 2, 1720 115 526.4736971357104
Philadelphia, PA, Mon May  4 20:40:06 PDT 2020, 1, 1439.5 120 461.995408746755
Washington, DC, Mon May  4 20:40:08 PDT 2020, 2, 1745 107 793.4939905895606
Washington, DC, Mon May  4 20:40:11 PDT 2020, 1, 1550 99 471.16570221584203
Miami, FL, Mon May  4 20:40:14 PDT 2020, 2, 1665 117 682.9836846717874
Miami, FL, Mon May  4 20:40:17 PDT 2020, 1, 1420.0 130 373.85065696741424
Santa Clara, CA, Tue May  5 18:36:20 PDT 2020, 2, 2968.5 122 475.78116600428865
Santa Clara, CA, Tue May  5 18:36:22 PDT 2020, 1, 2486.0 118 354.9355337058599
Cupertino, CA, Tue May  5 18:36:24 PDT 2020, 2, 3343.0 108 611.7408357475813
Cupertino, CA, Tue May  5 18:36:26 PDT 2020, 1, 2395.0 114 715.7441358921253
San Francisco, CA, Tue May  5 18:36:28 PDT 2020, 2, 4097.5 118 1583.444124854975
San Francisco, CA, Tue May  5 18:36:30 PDT 2020, 1, 3195 117 851.5997382607146
Los Angeles, CA, Tue May  5 18:36:32 PDT 2020, 2, 2495 115 1012.5553946105091
Los Angeles, CA, Tue May  5 18:36:35 PDT 2020, 1, 1895 113 572.6971348081343
San Diego, CA, Tue May  5 18:36:37 PDT 2020, 2, 2125.0 116 542.3052228428551
San Diego, CA, Tue May  5 18:36:39 PDT 2020, 1, 1765 117 415.6159072695353
Seattle, WA, Tue May  5 18:36:41 PDT 2020, 2, 1722.5 120 810.9993730720445
Seattle, WA, Tue May  5 18:36:43 PDT 2020, 1, 1581 119 631.7258268396615
Boston, MA, Tue May  5 18:36:45 PDT 2020, 2, 2300 117 976.9988903332229
Boston, MA, Tue May  5 18:36:47 PDT 2020, 1, 1895.0 110 569.389543980213
New York, NY, Tue May  5 18:36:49 PDT 2020, 2, 2500 103 1493.7631100720064
New York, NY, Tue May  5 18:36:52 PDT 2020, 1, 1950.0 106 811.8184092269332
Philadelphia, PA, Tue May  5 18:36:54 PDT 2020, 2, 1594 103 650.0295532826734
Philadelphia, PA, Tue May  5 18:36:56 PDT 2020, 1, 1495.0 104 342.5043055337932
Washington, DC, Tue May  5 18:36:58 PDT 2020, 2, 2395.0 114 853.0247185121872
Washington, DC, Tue May  5 18:37:01 PDT 2020, 1, 1765.0 110 489.50293898272696
Miami, FL, Tue May  5 18:37:03 PDT 2020, 2, 1653 129 586.2374853005492
Miami, FL, Tue May  5 18:37:06 PDT 2020, 1, 1402.5 130 1000.7018534325433
Santa Clara, CA, Wed May  6 19:57:15 PDT 2020, 2, 2945.0 118 463.82362768421547
Santa Clara, CA, Wed May  6 19:57:18 PDT 2020, 1, 2490.0 122 405.79567668382384
Cupertino, CA, Wed May  6 19:57:21 PDT 2020, 2, 3351 113 563.690022976984
Cupertino, CA, Wed May  6 19:57:23 PDT 2020, 1, 2395 107 649.5028192277535
San Francisco, CA, Wed May  6 19:57:25 PDT 2020, 2, 4270.0 116 1747.4992557367798
San Francisco, CA, Wed May  6 19:57:27 PDT 2020, 1, 3100.0 110 1060.8583745371895
Los Angeles, CA, Wed May  6 19:57:29 PDT 2020, 2, 2495 117 1157.2299239204697
Los Angeles, CA, Wed May  6 19:57:32 PDT 2020, 1, 1934.0 114 659.9268873610234
San Diego, CA, Wed May  6 19:57:34 PDT 2020, 2, 2079.5 116 517.3360117230263
San Diego, CA, Wed May  6 19:57:37 PDT 2020, 1, 1780.0 122 434.19624520761494
Seattle, WA, Wed May  6 19:57:39 PDT 2020, 2, 1678.5 118 601.4868426204969
Seattle, WA, Wed May  6 19:57:42 PDT 2020, 1, 1578.0 118 512.2626886148284
Boston, MA, Wed May  6 19:57:45 PDT 2020, 2, 2300.0 110 676.5158301106673
Boston, MA, Wed May  6 19:57:47 PDT 2020, 1, 1897.5 110 481.6749655043963
New York, NY, Wed May  6 19:57:50 PDT 2020, 2, 2463.0 104 1536.0633830866473
New York, NY, Wed May  6 19:57:52 PDT 2020, 1, 2000 111 1040.985079759425
Philadelphia, PA, Wed May  6 19:57:55 PDT 2020, 2, 1620.0 116 645.0709363849186
Philadelphia, PA, Wed May  6 19:57:57 PDT 2020, 1, 1350 113 386.3903540320349
Washington, DC, Wed May  6 19:57:59 PDT 2020, 2, 1870.0 114 753.7482854880044
Washington, DC, Wed May  6 19:58:02 PDT 2020, 1, 1700.0 102 423.7489957690274
Miami, FL, Wed May  6 19:58:05 PDT 2020, 2, 1684.0 112 466.2619909541139
Miami, FL, Wed May  6 19:58:07 PDT 2020, 1, 1300 113 478.30352118239114
Santa Clara, CA, Thu May  7 16:25:45 PDT 2020, 2, 2895.0 118 428.41052433112634
Santa Clara, CA, Thu May  7 16:25:48 PDT 2020, 1, 2395 121 402.33673775950933
Cupertino, CA, Thu May  7 16:25:50 PDT 2020, 2, 3395 111 551.4874241844315
Cupertino, CA, Thu May  7 16:25:51 PDT 2020, 1, 2395 111 634.2516204945149
San Francisco, CA, Thu May  7 16:25:53 PDT 2020, 2, 4250 119 3061.4287540916957
San Francisco, CA, Thu May  7 16:25:55 PDT 2020, 1, 3199 119 969.6159114874888
Los Angeles, CA, Thu May  7 16:25:57 PDT 2020, 2, 2371 117 925.3753099895976
Los Angeles, CA, Thu May  7 16:25:59 PDT 2020, 1, 1916.0 112 828.875621119573
San Diego, CA, Thu May  7 16:26:02 PDT 2020, 2, 2135 115 521.9977744998165
San Diego, CA, Thu May  7 16:26:04 PDT 2020, 1, 1750 115 435.1609164302394
Seattle, WA, Thu May  7 16:26:06 PDT 2020, 2, 1805 119 939.1945546476759
Seattle, WA, Thu May  7 16:26:08 PDT 2020, 1, 1626.5 118 565.571726107447
Boston, MA, Thu May  7 16:26:10 PDT 2020, 2, 2250 107 931.2057182786698
Boston, MA, Thu May  7 16:26:12 PDT 2020, 1, 1862.5 108 710.7236713882908
New York, NY, Thu May  7 16:26:14 PDT 2020, 2, 2400 105 1233.9647321026887
New York, NY, Thu May  7 16:26:15 PDT 2020, 1, 2100 109 973.2896410885204
Philadelphia, PA, Thu May  7 16:26:18 PDT 2020, 2, 1700.0 100 590.9080869921542
Philadelphia, PA, Thu May  7 16:26:20 PDT 2020, 1, 1495.0 104 441.2680265407855
Washington, DC, Thu May  7 16:26:22 PDT 2020, 2, 1770 113 563.5453333693094
Washington, DC, Thu May  7 16:26:24 PDT 2020, 1, 1571 107 603.8736682115152
Miami, FL, Thu May  7 16:26:26 PDT 2020, 2, 1650 113 538.809208191414
Miami, FL, Thu May  7 16:26:28 PDT 2020, 1, 1470.0 130 279.7630102785131
Santa Clara, CA, Sat May  9 00:24:06 PDT 2020, 2, 2835.0 118 491.52923645910937
Santa Clara, CA, Sat May  9 00:24:08 PDT 2020, 1, 2441.0 116 465.1126054592817
Cupertino, CA, Sat May  9 00:24:10 PDT 2020, 2, 3340.5 114 556.8578974037695
Cupertino, CA, Sat May  9 00:24:11 PDT 2020, 1, 2395.0 112 642.4707234965598
San Francisco, CA, Sat May  9 00:24:13 PDT 2020, 2, 3995 115 1513.9082636222104
San Francisco, CA, Sat May  9 00:24:15 PDT 2020, 1, 2995.0 114 829.0593120876019
Los Angeles, CA, Sat May  9 00:24:17 PDT 2020, 2, 2795 125 1944.2437123218956
Los Angeles, CA, Sat May  9 00:24:20 PDT 2020, 1, 1952.5 108 629.4063438732227
San Diego, CA, Sat May  9 00:24:22 PDT 2020, 2, 2150 115 798.9531988061206
San Diego, CA, Sat May  9 00:24:24 PDT 2020, 1, 1815 119 350.62559773201235
Seattle, WA, Sat May  9 00:24:27 PDT 2020, 2, 1790 119 791.3786788636147
Seattle, WA, Sat May  9 00:24:29 PDT 2020, 1, 1650 117 544.9948374309681
Boston, MA, Sat May  9 00:24:31 PDT 2020, 2, 2300 113 939.6484435866247
Boston, MA, Sat May  9 00:24:33 PDT 2020, 1, 1850.0 108 516.5786485841921
New York, NY, Sat May  9 00:24:35 PDT 2020, 2, 2510.0 100 756.7615086069659
New York, NY, Sat May  9 00:24:37 PDT 2020, 1, 2050 101 821.2094082980466
Philadelphia, PA, Sat May  9 00:24:39 PDT 2020, 2, 1819.0 114 671.5427390455876
Philadelphia, PA, Sat May  9 00:24:41 PDT 2020, 1, 1465 115 348.7133609218766
Washington, DC, Sat May  9 00:24:43 PDT 2020, 2, 1708.5 116 907.2280798292041
Washington, DC, Sat May  9 00:24:45 PDT 2020, 1, 1500 107 558.1597979768766
Miami, FL, Sat May  9 00:24:47 PDT 2020, 2, 1650 107 383.9838975456204
Miami, FL, Sat May  9 00:24:50 PDT 2020, 1, 1383.0 112 307.7435705459258
Santa Clara, CA, Sat May  9 16:05:51 PDT 2020, 2, 2950.0 118 457.7396585736764
Santa Clara, CA, Sat May  9 16:05:53 PDT 2020, 1, 2452.5 122 438.0753066836478
Cupertino, CA, Sat May  9 16:05:55 PDT 2020, 2, 3469.0 114 556.9103408765096
Cupertino, CA, Sat May  9 16:05:57 PDT 2020, 1, 2395.0 108 620.2811761926528
San Francisco, CA, Sat May  9 16:06:00 PDT 2020, 2, 4311 119 1447.1080627212996
San Francisco, CA, Sat May  9 16:06:02 PDT 2020, 1, 3231 117 887.6929409665213
Los Angeles, CA, Sat May  9 16:06:04 PDT 2020, 2, 2570 119 789.8645951182259
Los Angeles, CA, Sat May  9 16:06:07 PDT 2020, 1, 2054.5 118 607.5524941118668
San Diego, CA, Sat May  9 16:06:08 PDT 2020, 2, 2168.5 116 561.6290170998786
San Diego, CA, Sat May  9 16:06:10 PDT 2020, 1, 1799 117 324.82549238172726
Seattle, WA, Sat May  9 16:06:12 PDT 2020, 2, 1942.0 120 756.2473538625372
Seattle, WA, Sat May  9 16:06:15 PDT 2020, 1, 1695.0 120 527.8938299774788
Boston, MA, Sat May  9 16:06:17 PDT 2020, 2, 2307.0 112 697.2362492777823
Boston, MA, Sat May  9 16:06:19 PDT 2020, 1, 1895 103 515.239257141527
New York, NY, Sat May  9 16:06:21 PDT 2020, 2, 2550.0 108 927.800848374091
New York, NY, Sat May  9 16:06:23 PDT 2020, 1, 2100 113 861.4887651856449
Philadelphia, PA, Sat May  9 16:06:25 PDT 2020, 2, 1463 117 511.1001215197534
Philadelphia, PA, Sat May  9 16:06:27 PDT 2020, 1, 1500 105 353.81441012653346
Washington, DC, Sat May  9 16:06:29 PDT 2020, 2, 1822.0 120 760.7761212884438
Washington, DC, Sat May  9 16:06:31 PDT 2020, 1, 1570 113 616.0838962808857
Miami, FL, Sat May  9 16:06:33 PDT 2020, 2, 1697.5 122 596.2890540878047
Miami, FL, Sat May  9 16:06:36 PDT 2020, 1, 1399.0 118 236.029756126634
Santa Clara, CA, Sun May 10 12:22:37 PDT 2020, 2, 3003.0 118 505.8391341230079
Santa Clara, CA, Sun May 10 12:22:40 PDT 2020, 1, 2445 123 439.32572467709514
Cupertino, CA, Sun May 10 12:22:42 PDT 2020, 2, 3493 115 562.0724037282024
Cupertino, CA, Sun May 10 12:22:44 PDT 2020, 1, 2395.0 110 637.872345333127
San Francisco, CA, Sun May 10 12:22:47 PDT 2020, 2, 4450.0 114 1070.6616132535553
San Francisco, CA, Sun May 10 12:22:49 PDT 2020, 1, 3099.0 114 3629.0228408460152
Los Angeles, CA, Sun May 10 12:22:51 PDT 2020, 2, 2511 115 991.9943264490447
Los Angeles, CA, Sun May 10 12:22:54 PDT 2020, 1, 2195.0 126 624.2296680010478
San Diego, CA, Sun May 10 12:22:56 PDT 2020, 2, 2181 117 500.04998689123113
San Diego, CA, Sun May 10 12:22:58 PDT 2020, 1, 1750 117 1202.3158649007516
Seattle, WA, Sun May 10 12:23:00 PDT 2020, 2, 1855.0 118 798.9925112018794
Seattle, WA, Sun May 10 12:23:02 PDT 2020, 1, 1783.0 118 468.81586965847606
Boston, MA, Sun May 10 12:23:05 PDT 2020, 2, 2239 111 513.6440613746272
Boston, MA, Sun May 10 12:23:07 PDT 2020, 1, 1895 97 512.9594705090059
New York, NY, Sun May 10 12:23:09 PDT 2020, 2, 2564.5 110 901.0034206205739
New York, NY, Sun May 10 12:23:11 PDT 2020, 1, 2100.0 112 908.693712839935
Philadelphia, PA, Sun May 10 12:23:13 PDT 2020, 2, 1795 113 651.5181979280031
Philadelphia, PA, Sun May 10 12:23:16 PDT 2020, 1, 1400 111 450.23184035973077
Washington, DC, Sun May 10 12:23:18 PDT 2020, 2, 1839.5 112 613.1495850854636
Washington, DC, Sun May 10 12:23:20 PDT 2020, 1, 1608.0 116 482.8578320603374
Miami, FL, Sun May 10 12:23:22 PDT 2020, 2, 1775 121 386.94906573938647
Miami, FL, Sun May 10 12:23:25 PDT 2020, 1, 1450 135 423.96863208853654
