Santa Clara, CA, Mon May  4 20:24:35 PDT 2020,1,2480,119,
Cupertino, CA, Mon May  4 20:24:37 PDT 2020,2,3378,102,
Cupertino, CA, Mon May  4 20:24:39 PDT 2020,1,2705,123,
Santa Clara, CA, Mon May  4 20:30:22 PDT 2020,2,3007,125,487.557143449906
Santa Clara, CA, Mon May  4 20:30:24 PDT 2020,1,2480,119,478.916952479414
Cupertino, CA, Mon May  4 20:30:26 PDT 2020,2,3378,102,605.097073417638
Cupertino, CA, Mon May  4 20:30:27 PDT 2020,1,2705,123,671.015662404629
Santa Clara, CA, Mon May  4 20:39:05 PDT 2020,2,3007,121,493.059144916383
Santa Clara, CA, Mon May  4 20:39:09 PDT 2020,1,2490,115,476.926661956344
Cupertino, CA, Mon May  4 20:39:11 PDT 2020,2,3361,98,614.194110716265
Cupertino, CA, Mon May  4 20:39:15 PDT 2020,1,2653,109,700.982158773039
San Francisco, CA, Mon May  4 20:39:18 PDT 2020,2,3999.5,116,1349.31234824204
San Francisco, CA, Mon May  4 20:39:23 PDT 2020,1,3100,119,1032.77942823548
Los Angeles, CA, Mon May  4 20:39:28 PDT 2020,2,2548,112,995.219818133687
Los Angeles, CA, Mon May  4 20:39:34 PDT 2020,1,1995,113,571.971106564507
San Diego, CA, Mon May  4 20:39:39 PDT 2020,2,2195,119,628.158405110852
San Diego, CA, Mon May  4 20:39:41 PDT 2020,1,1770,118,361.65092782542
Seattle, WA, Mon May  4 20:39:44 PDT 2020,2,1820,119,771.99126117796
Seattle, WA, Mon May  4 20:39:48 PDT 2020,1,1600,115,546.063703070284
Boston, MA, Mon May  4 20:39:52 PDT 2020,2,2250,117,709.429574760142
Boston, MA, Mon May  4 20:39:55 PDT 2020,1,1875,109,600.94860353533
New York, NY, Mon May  4 20:39:58 PDT 2020,2,2400,108,686.119366218873
New York, NY, Mon May  4 20:40:01 PDT 2020,1,1995,103,602.642092870845
Philadelphia, PA, Mon May  4 20:40:04 PDT 2020,2,1720,115,526.47369713571
Philadelphia, PA, Mon May  4 20:40:06 PDT 2020,1,1439.5,120,461.995408746755
Washington, DC, Mon May  4 20:40:08 PDT 2020,2,1745,107,793.493990589561
Washington, DC, Mon May  4 20:40:11 PDT 2020,1,1550,99,471.165702215842
Miami, FL, Mon May  4 20:40:14 PDT 2020,2,1665,117,682.983684671787
Miami, FL, Mon May  4 20:40:17 PDT 2020,1,1420,130,373.850656967414
Santa Clara, CA, Tue May  5 18:36:20 PDT 2020,2,2968.5,122,475.781166004289
Santa Clara, CA, Tue May  5 18:36:22 PDT 2020,1,2486,118,354.93553370586
Cupertino, CA, Tue May  5 18:36:24 PDT 2020,2,3343,108,611.740835747581
Cupertino, CA, Tue May  5 18:36:26 PDT 2020,1,2395,114,715.744135892125
San Francisco, CA, Tue May  5 18:36:28 PDT 2020,2,4097.5,118,1583.44412485497
San Francisco, CA, Tue May  5 18:36:30 PDT 2020,1,3195,117,851.599738260715
Los Angeles, CA, Tue May  5 18:36:32 PDT 2020,2,2495,115,1012.55539461051
Los Angeles, CA, Tue May  5 18:36:35 PDT 2020,1,1895,113,572.697134808134
San Diego, CA, Tue May  5 18:36:37 PDT 2020,2,2125,116,542.305222842855
San Diego, CA, Tue May  5 18:36:39 PDT 2020,1,1765,117,415.615907269535
Seattle, WA, Tue May  5 18:36:41 PDT 2020,2,1722.5,120,810.999373072045
Seattle, WA, Tue May  5 18:36:43 PDT 2020,1,1581,119,631.725826839662
Boston, MA, Tue May  5 18:36:45 PDT 2020,2,2300,117,976.998890333223
Boston, MA, Tue May  5 18:36:47 PDT 2020,1,1895,110,569.389543980213
New York, NY, Tue May  5 18:36:49 PDT 2020,2,2500,103,1493.76311007201
New York, NY, Tue May  5 18:36:52 PDT 2020,1,1950,106,811.818409226933
Philadelphia, PA, Tue May  5 18:36:54 PDT 2020,2,1594,103,650.029553282673
Philadelphia, PA, Tue May  5 18:36:56 PDT 2020,1,1495,104,342.504305533793
Washington, DC, Tue May  5 18:36:58 PDT 2020,2,2395,114,853.024718512187
Washington, DC, Tue May  5 18:37:01 PDT 2020,1,1765,110,489.502938982727
Miami, FL, Tue May  5 18:37:03 PDT 2020,2,1653,129,586.237485300549
Miami, FL, Tue May  5 18:37:06 PDT 2020,1,1402.5,130,1000.70185343254
Santa Clara, CA, Wed May  6 19:57:15 PDT 2020,2,2945,118,463.823627684215
Santa Clara, CA, Wed May  6 19:57:18 PDT 2020,1,2490,122,405.795676683824
Cupertino, CA, Wed May  6 19:57:21 PDT 2020,2,3351,113,563.690022976984
Cupertino, CA, Wed May  6 19:57:23 PDT 2020,1,2395,107,649.502819227754
San Francisco, CA, Wed May  6 19:57:25 PDT 2020,2,4270,116,1747.49925573678
San Francisco, CA, Wed May  6 19:57:27 PDT 2020,1,3100,110,1060.85837453719
Los Angeles, CA, Wed May  6 19:57:29 PDT 2020,2,2495,117,1157.22992392047
Los Angeles, CA, Wed May  6 19:57:32 PDT 2020,1,1934,114,659.926887361023
San Diego, CA, Wed May  6 19:57:34 PDT 2020,2,2079.5,116,517.336011723026
San Diego, CA, Wed May  6 19:57:37 PDT 2020,1,1780,122,434.196245207615
Seattle, WA, Wed May  6 19:57:39 PDT 2020,2,1678.5,118,601.486842620497
Seattle, WA, Wed May  6 19:57:42 PDT 2020,1,1578,118,512.262688614829
Boston, MA, Wed May  6 19:57:45 PDT 2020,2,2300,110,676.515830110667
