Boston, MA,2020-05-20,1812,112,539,2400,114,565
New York, NY,2020-05-20,1997,100,835,2537,101,917
Philadelphia, PA,2020-05-20,1385,125,409,1763,102,600
Washington, DC,2020-05-20,1690,111,477,1895,119,664
Miami, FL,2020-05-20,1595,117,480,1725,108,1687
Santa Clara, CA, 2020-05-21, 2410, 118, 390,2724, 137, 444
Cupertino, CA, 2020-05-21, 2245, 154, 472,3195, 116, 479
San Francisco, CA, 2020-05-21, 3290, 117, 784,4199, 115, 1072
Los Angeles, CA, 2020-05-21, 1897, 114, 686,2450, 117, 845
San Diego, CA, 2020-05-21, 1700, 117, 472,1955, 115, 563
Seattle, WA, 2020-05-21, 1628, 118, 410,1695, 119, 578
Boston, MA, 2020-05-21, 1850, 109, 486,2285, 110, 617
New York, NY, 2020-05-21, 2212, 100, 984,2500, 108, 1001
Philadelphia, PA, 2020-05-21, 1248, 110, 385,1673, 103, 642
Washington, DC, 2020-05-21, 1653, 113, 427,1829, 119, 1847
Miami, FL, 2020-05-21, 1304, 112, 350,1665, 111, 478
Santa Clara, CA, 2020-05-22, 2330, 110, 394, 2700, 142, 433
Cupertino, CA, 2020-05-22, 2245, 167, 450, 3211, 117, 467
San Francisco, CA, 2020-05-22, 3295, 119, 756, 4200, 115, 1300
Los Angeles, CA, 2020-05-22, 1888, 116, 680, 2399, 113, 631
San Diego, CA, 2020-05-22, 1728, 118, 361, 1996, 116, 561
Seattle, WA, 2020-05-22, 1499, 119, 470, 1640, 117, 487
Boston, MA, 2020-05-22, 1875, 113, 418, 2220, 112, 624
New York, NY, 2020-05-22, 2100, 109, 795, 2400, 107, 1006
Philadelphia, PA, 2020-05-22, 1325, 117, 432, 1720, 111, 655
Washington, DC, 2020-05-22, 1599, 115, 474, 1770, 114, 772
Miami, FL, 2020-05-22, 1429, 130, 302, 1679, 135, 660
